
timestamp,forearm_sEMG,upperarm_sEMG,joint_angle
1742389210.1269083,1126,1146,180
1742389210.1269083,1083,1152,180
1742389210.1279047,1129,1148,180
1742389210.1279047,1130,1153,180
1742389210.1309066,1140,1177,180
1742389210.132903,1142,1176,180
1742389210.132903,1152,1161,180
1742389210.1349046,1138,1133,180
1742389210.1364129,1121,1142,180
1742389210.1374261,1124,1150,180
1742389210.1384263,1129,1163,180
1742389210.1394222,1140,1180,180
1742389210.1434252,1138,1176,180
1742389210.1444275,1122,1145,180
1742389210.146938,1117,1137,180
1742389210.1489542,1116,1149,180
1742389210.149951,1107,1152,180
1742389210.149951,1140,1167,180
1742389210.1509514,1144,1174,180
1742389210.152949,1128,1162,180
1742389210.1549523,1119,1162,180
1742389210.1559498,1115,1138,180
1742389210.1584687,1127,1146,180
1742389210.162468,1130,1173,180
1742389210.16347,1140,1120,180
1742389210.16347,1158,1170,180
1742389210.1654692,1120,1149,180
1742389210.1654692,1115,1086,180
1742389210.1664739,1115,1150,180
1742389210.1664739,1125,1146,180
1742389210.1744719,1207,1170,180
1742389210.1774707,1144,1172,180
1742389210.1814666,1130,1157,180
1742389210.1824713,1126,1135,180
1742389210.1824713,1119,1133,180
1742389210.1839864,1120,1141,180
1742389210.1839864,1130,1154,180
1742389210.1850011,1140,1173,180
1742389210.1870053,1137,1166,180
1742389210.1900048,1119,1146,180
1742389210.1920016,1053,1125,180
1742389210.196605,1116,1139,180
1742389210.198537,1124,1176,180
1742389210.1995347,1131,1157,180
1742389210.2005384,1142,1172,180
1742389210.2015324,1132,1158,180
1742389210.2015324,1121,1148,180
1742389210.2035334,1125,1132,180
1742389210.205533,1121,1142,180
1742389210.2090547,1125,1154,180
1742389210.212057,1133,1171,180
1742389210.215052,1138,1100,180
1742389210.2175603,1123,1142,180
1742389210.2175603,1036,1155,180
1742389210.2185698,1110,1139,180
1742389210.2185698,1160,1149,180
1742389210.2185698,1130,1158,180
1742389210.2185698,1079,1184,180
1742389210.2185698,1134,1174,180
1742389210.2185698,1105,1136,180
1742389210.2185698,1111,1132,180
1742389210.21957,1121,1142,180
1742389210.21957,1126,1152,180
1742389210.21957,1135,1168,180
1742389210.222571,1136,1171,180
1742389210.22457,1082,1159,180
1742389210.225571,1103,1135,180
1742389210.2265718,1102,1138,180
1742389210.229089,1118,1146,180
1742389210.2310872,1152,1166,180
1742389210.2320907,1143,1103,180
1742389210.2340884,1139,1164,180
1742389210.2360904,1062,1143,180
1742389210.2385967,1055,1138,180
1742389210.2406068,1060,1145,180
1742389210.2406068,1125,1150,180
1742389210.2416062,1135,1167,180
1742389210.2416062,1135,1170,180
1742389210.242606,1121,1154,180
1742389210.2436059,1112,1138,180
1742389210.2466059,1117,1135,180
1742389210.2491128,1119,1142,180
1742389210.2511208,1126,1179,180
1742389210.2521226,1140,1088,180
1742389210.2521226,1134,1168,180
1742389210.253123,1124,1145,180
1742389210.2561219,1116,1133,180
1742389210.2571206,1113,1136,180
1742389210.2581213,1123,1150,180
1742389210.2601225,1130,1158,180
1742389210.2611234,1134,1161,180
1742389210.2621217,1127,1144,180
1742389210.2651224,1114,1073,180
1742389210.2671225,1110,1126,180
1742389210.269121,1116,1135,180
1742389210.2711215,1130,1158,180
1742389210.2721245,1139,1160,180
1742389210.2731225,1139,1154,180
1742389210.2731225,1122,1136,180
1742389210.274631,1114,1124,180
1742389210.2776415,1128,1127,180
1742389210.2786427,1130,1134,180
1742389210.2806394,1134,1089,180
1742389210.2826412,1138,1160,180
1742389210.2836404,1126,1148,180
1742389210.2836404,1121,1124,180
1742389210.2861557,1113,1120,180
1742389210.287155,1115,1130,180
1742389210.2891538,1123,1142,180
1742389210.2901564,1144,1157,180
1742389210.2921567,1143,1155,180
1742389210.2921567,1128,1130,180
1742389210.296156,1116,1117,180
1742389210.2981553,1116,1115,180
1742389210.2991552,1125,1156,180
1742389210.3001566,1135,1147,180
1742389210.3031583,1124,1150,180
1742389210.3041556,1131,1146,180
1742389210.3056633,1157,1090,180
1742389210.307673,1115,1122,180
1742389210.309674,1114,1129,180
