timestamp,forearm_sEMG,upperarm_sEMG,joint_angle
1745327944.415915,215,264,16.456377
1745327944.416916,214,274,16.456377
1745327944.4199169,216,273,16.456377
1745327944.420915,215,284,16.456377
1745327944.4219153,217,282,16.456377
1745327944.4229412,214,278,16.456377
1745327944.4229412,216,276,16.456377
1745327944.425458,214,276,16.456377
1745327944.4264586,214,270,16.456377
1745327944.4264586,218,277,16.456377
1745327944.427476,210,283,16.456377
1745327944.4303784,216,282,16.456377
1745327944.4303784,216,278,16.456377
1745327944.4313846,220,273,16.456377
1745327944.4343839,214,271,16.456377
1745327944.4358943,218,271,16.456377
1745327944.4378943,217,276,16.456377
1745327944.4389212,198,281,16.456377
1745327944.4399128,214,284,16.456377
1745327944.4399128,209,284,16.456377
1745327944.4408925,215,281,16.456377
1745327944.4408925,217,275,16.456377
1745327944.4408925,216,278,16.456377
1745327944.4438937,216,292,16.456377
1745327944.4438937,215,278,16.456377
1745327944.4484546,249,286,16.456377
1745327944.4504364,217,293,16.456377
1745327944.4514613,218,277,16.456377
1745327944.4524572,215,272,16.456377
1745327944.4534643,216,267,16.456377
1745327944.4544353,215,270,16.456377
1745327944.4554346,216,273,16.456377
1745327944.4554346,216,287,16.456377
1745327944.4564362,213,281,16.456377
1745327944.4604356,214,281,16.456377
1745327944.4606566,212,279,16.456377
1745327944.4634385,215,276,16.456377
1745327944.4644394,214,274,16.456377
1745327944.4654365,214,277,16.456377
1745327944.4684384,216,280,16.456377
1745327944.4684384,207,280,16.456377
1745327944.4710395,196,282,16.456377
1745327944.4710395,215,280,16.456377
1745327944.4710395,218,271,16.456377
1745327944.4719956,214,270,16.456377
1745327944.4719956,216,267,16.456377
1745327944.4759972,212,275,16.456377
1745327944.4769974,212,276,16.456377
1745327944.4790168,213,270,16.456377
1745327944.4799967,213,285,16.456377
1745327944.4825115,212,277,16.456377
1745327944.4835386,214,274,16.456377
1745327944.485529,215,263,16.456377
1745327944.486511,213,279,16.456377
1745327944.486511,217,278,16.456377
1745327944.4875112,219,280,16.456377
1745327944.4875112,215,285,16.456377
1745327944.4905095,215,284,16.456377
1745327944.4905095,215,273,16.456377
1745327944.4925115,216,270,16.456377
1745327944.4945357,210,273,16.456377
1745327944.4945357,210,274,16.456377
1745327944.4965098,216,280,16.456377
1745327944.4985135,210,286,16.456377
1745327944.5005126,211,283,16.456377
1745327944.5005126,222,280,16.456377
1745327944.5005126,218,271,16.456377
1745327944.5021238,214,276,16.456377
1745327944.5030563,214,275,16.456377
1745327944.507058,214,277,16.456377
1745327944.508057,213,281,16.456377
1745327944.5090752,216,283,16.456377
1745327944.5135727,214,290,16.456377
1745327944.514571,194,271,16.456377
1745327944.5155714,218,272,16.456377
1745327944.5155714,213,271,16.456377
1745327944.5165718,215,274,16.456377
1745327944.5175729,196,279,16.456377
1745327944.519598,213,283,16.456377
1745327944.5215943,212,280,16.456377
1745327944.5235798,215,280,16.456377
1745327944.5255792,216,274,16.456377
1745327944.5266035,213,273,16.456377
1745327944.5295784,216,274,16.456377
1745327944.5306063,216,279,16.456377
1745327944.5315957,214,267,16.456377
1745327944.5315957,216,272,16.456377
1745327944.5315957,223,278,16.456377
1745327944.5315957,215,275,16.456377
1745327944.5315957,214,268,16.456377
1745327944.5331204,216,269,16.456377
1745327944.53518,214,274,16.456377
1745327944.5361867,211,291,16.456377
1745327944.5361867,214,283,16.456377
1745327944.5382166,214,281,16.456377
1745327944.5391877,214,278,16.456377
1745327944.5411868,214,271,16.456377
1745327944.542186,215,272,16.456377
1745327944.5452638,215,273,16.456377
1745327944.5462615,214,289,16.456377
1745327944.5472622,214,280,16.456377
1745327944.5472622,216,281,16.456377
1745327944.5482614,213,276,16.456377
1745327944.5512624,212,271,16.456377
1745327944.5512624,214,267,16.456377
1745327944.5542626,215,271,16.456377
1745327944.5542626,211,275,16.456377
1745327944.5562625,212,276,16.456377
1745327944.5562625,212,283,16.456377
